Feature,Manual_mean,POFC_mean,SMD,t_p,MW_p,Balanced
budget_planned_kUSD,7235.13,8513.778,0.306,0.002,0.002,✗ IMBALANCED
duration_months,30.836,33.943,0.203,0.041,0.042,✗ IMBALANCED
advance_pct,0.272,0.28,0.078,0.429,0.435,✓
capex_opex_ratio,2.936,3.002,0.072,0.468,0.468,✓
fx_exposure,0.333,0.323,0.064,0.517,0.528,✓
supplier_concentration,0.557,0.558,0.008,0.937,1.0,✓
cpi_t0,0.99,0.968,0.19,0.053,0.035,✓
spi_t0,0.947,0.95,0.021,0.834,0.796,✓
dso_days,43.949,45.504,0.092,0.351,0.332,✓
erp_legacy_score,0.449,0.341,0.538,0.0,0.0,✗ IMBALANCED
